tweet_english,tokenize_tweet,labels,cleaned_tweet
no need to badmouth or even bring down the day again don't forget all in prabowo gibran,"['no', 'need', 'to', 'badmouth', 'or', 'even', 'bring', 'down', 'the', 'day', 'again', 'do', ""n't"", 'forget', 'all', 'in', 'prabowo', 'gibran']",negatif,badmouth bring day n't forget prabowo gibran
"Oh, yes, it's going to happen again, sorry yee","['Oh', ',', 'yes', ',', 'it', ""'s"", 'going', 'to', 'happen', 'again', ',', 'sorry', 'yee']",positif,", , 's happen , yee"
"real proof of the results of Gibran's hard work in Solo. The young people who are working continue, bro","['real', 'proof', 'of', 'the', 'results', 'of', 'Gibran', ""'s"", 'hard', 'work', 'in', 'Solo', '.', 'The', 'young', 'people', 'who', 'are', 'working', 'continue', ',', 'bro']",negatif,"real proof Gibran 's hard Solo . people continue , bro"
"please check again, think again","['please', 'check', 'again', ',', 'think', 'again']",positif,"check ,"
do you still remember or not?,"['do', 'you', 'still', 'remember', 'or', 'not', '?']",netral,remember ?
"check it first, bro","['check', 'it', 'first', ',', 'bro']",netral,"check , bro"
"no need to speak ill of anyone, all in Prabowo Gibran","['no', 'need', 'to', 'speak', 'ill', 'of', 'anyone', ',', 'all', 'in', 'Prabowo', 'Gibran']",negatif,"speak , Prabowo Gibran"
"It's true, Mr. Gibran, that people need proof, not promises, which is different from Onono, who just talks, talks","['It', ""'s"", 'true', ',', 'Mr.', 'Gibran', ',', 'that', 'people', 'need', 'proof', ',', 'not', 'promises', ',', 'which', 'is', 'different', 'from', 'Onono', ',', 'who', 'just', 'talks', ',', 'talks']",positif,"'s true , Mr. Gibran , people proof , promises , Onono , talks , talks"
"The victory of the candidate pair is your own victory, yes, the victory of the candidate pair is the victory of the elite, the rich oligarchs are getting richer, the poor are getting poorer, the victory of the candidate pair is the victory of the people, and the little people give a finger salute","['The', 'victory', 'of', 'the', 'candidate', 'pair', 'is', 'your', 'own', 'victory', ',', 'yes', ',', 'the', 'victory', 'of', 'the', 'candidate', 'pair', 'is', 'the', 'victory', 'of', 'the', 'elite', ',', 'the', 'rich', 'oligarchs', 'are', 'getting', 'richer', ',', 'the', 'poor', 'are', 'getting', 'poorer', ',', 'the', 'victory', 'of', 'the', 'candidate', 'pair', 'is', 'the', 'victory', 'of', 'the', 'people', ',', 'and', 'the', 'little', 'people', 'give', 'a', 'finger', 'salute']",positif,"victory candidate pair victory , , victory candidate pair victory elite , rich oligarchs richer , poor poorer , victory candidate pair victory people , people finger salute"
"That's great, Mr. Wiranto, continue to support the candidate pair","['That', ""'s"", 'great', ',', 'Mr.', 'Wiranto', ',', 'continue', 'to', 'support', 'the', 'candidate', 'pair']",positif,"'s , Mr. Wiranto , continue support candidate pair"
"Thank God, I got more support from the candidate pairs","['Thank', 'God', ',', 'I', 'got', 'more', 'support', 'from', 'the', 'candidate', 'pairs']",positif,"God , support candidate pairs"
"managing agriculture is failing & full of corruption, food estate is not working, eh, dare to show up, managing social assistance and even sharing it, using it, inserting the candidate's vision and mission stickers, how not to damage the morals of the state minister doesn't want to resign, why is he campaigning, professor, role model for the people, thinks","['managing', 'agriculture', 'is', 'failing', '&', 'full', 'of', 'corruption', ',', 'food', 'estate', 'is', 'not', 'working', ',', 'eh', ',', 'dare', 'to', 'show', 'up', ',', 'managing', 'social', 'assistance', 'and', 'even', 'sharing', 'it', ',', 'using', 'it', ',', 'inserting', 'the', 'candidate', ""'s"", 'vision', 'and', 'mission', 'stickers', ',', 'how', 'not', 'to', 'damage', 'the', 'morals', 'of', 'the', 'state', 'minister', 'does', ""n't"", 'want', 'to', 'resign', ',', 'why', 'is', 'he', 'campaigning', ',', 'professor', ',', 'role', 'model', 'for', 'the', 'people', ',', 'thinks']",positif,"managing agriculture failing & corruption , food estate , , , managing social assistance sharing , , inserting candidate 's vision mission stickers , damage morals minister n't resign , campaigning , professor , role model people ,"
gasbarisanrfgpaslon we are optimistic that we can bring positive changes to employment in Indonesia,"['gasbarisanrfgpaslon', 'we', 'are', 'optimistic', 'that', 'we', 'can', 'bring', 'positive', 'changes', 'to', 'employment', 'in', 'Indonesia']",positif,gasbarisanrfgpaslon optimistic bring positive employment Indonesia
"fh, try studying the words of the candidate pair supporters, for example, one of them is simunafikun ajeng cute, how embarrassing is the slander against Abah Anies?","['fh', ',', 'try', 'studying', 'the', 'words', 'of', 'the', 'candidate', 'pair', 'supporters', ',', 'for', 'example', ',', 'one', 'of', 'them', 'is', 'simunafikun', 'ajeng', 'cute', ',', 'how', 'embarrassing', 'is', 'the', 'slander', 'against', 'Abah', 'Anies', '?']",positif,"fh , studying candidate pair supporters , , simunafikun ajeng cute , embarrassing slander Abah Anies ?"
"This is a fact, not just empty talk","['This', 'is', 'a', 'fact', ',', 'not', 'just', 'empty', 'talk']",positif,", talk"
"It's like I remembered something like that, gaih gaiz","['It', ""'s"", 'like', 'I', 'remembered', 'something', 'like', 'that', ',', 'gaih', 'gaiz']",positif,"'s remembered , gaih gaiz"
"Everyone has seen the proof, it's not just a sweet promise","['Everyone', 'has', 'seen', 'the', 'proof', ',', 'it', ""'s"", 'not', 'just', 'a', 'sweet', 'promise']",negatif,"proof , 's sweet promise"
"no need to badmouth anyone, the number is definitely the most appropriate","['no', 'need', 'to', 'badmouth', 'anyone', ',', 'the', 'number', 'is', 'definitely', 'the', 'most', 'appropriate']",positif,"badmouth ,"
how are you still sure,"['how', 'are', 'you', 'still', 'sure']",positif,
"That's as sincere as your heart, sir","['That', ""'s"", 'as', 'sincere', 'as', 'your', 'heart', ',', 'sir']",positif,"'s heart , sir"
"Is the candidate pair actually one team? The answer is that we don't know their behavior and plans behind the scenes, but it's a bit different, indeed, we're not God who knows everything, Professor Ahok","['Is', 'the', 'candidate', 'pair', 'actually', 'one', 'team', '?', 'The', 'answer', 'is', 'that', 'we', 'do', ""n't"", 'know', 'their', 'behavior', 'and', 'plans', 'behind', 'the', 'scenes', ',', 'but', 'it', ""'s"", 'a', 'bit', 'different', ',', 'indeed', ',', 'we', ""'re"", 'not', 'God', 'who', 'knows', 'everything', ',', 'Professor', 'Ahok']",negatif,"candidate pair team ? answer n't behavior plans scenes , 's bit , , 're God , Professor Ahok"
That's the reason why Ms. Tsamara Amany should vote for Prabowo,"['That', ""'s"", 'the', 'reason', 'why', 'Ms.', 'Tsamara', 'Amany', 'should', 'vote', 'for', 'Prabowo']",netral,'s reason Ms. Tsamara Amany vote Prabowo
Simulation of Kang Emil and Erick Thohir voting on the ballot box,"['Simulation', 'of', 'Kang', 'Emil', 'and', 'Erick', 'Thohir', 'voting', 'on', 'the', 'ballot', 'box']",netral,Simulation Kang Emil Erick Thohir voting ballot box
"At the very least, the members of this recitation have been fully supported by Andre, who is supporting the candidate pair","['At', 'the', 'very', 'least', ',', 'the', 'members', 'of', 'this', 'recitation', 'have', 'been', 'fully', 'supported', 'by', 'Andre', ',', 'who', 'is', 'supporting', 'the', 'candidate', 'pair']",positif,", recitation supported Andre , supporting candidate pair"
"This is how choosing the right leader according to Erick Thohir, agree or not","['This', 'is', 'how', 'choosing', 'the', 'right', 'leader', 'according', 'to', 'Erick', 'Thohir', ',', 'agree', 'or', 'not']",positif,"choosing leader Erick Thohir , agree"
"Is there anyone who has a presidential candidate as intelligent as this? What is clear is that the candidate is not a rival to this proud figure. Well, to win, it is certain that it was through cheating.","['Is', 'there', 'anyone', 'who', 'has', 'a', 'presidential', 'candidate', 'as', 'intelligent', 'as', 'this', '?', 'What', 'is', 'clear', 'is', 'that', 'the', 'candidate', 'is', 'not', 'a', 'rival', 'to', 'this', 'proud', 'figure', '.', 'Well', ',', 'to', 'win', ',', 'it', 'is', 'certain', 'that', 'it', 'was', 'through', 'cheating', '.']",positif,"presidential candidate intelligent ? candidate rival figure . , win , cheating ."
"always healthy, sir","['always', 'healthy', ',', 'sir']",positif,"healthy , sir"
Sane people should know that mosques are for worship,"['Sane', 'people', 'should', 'know', 'that', 'mosques', 'are', 'for', 'worship']",positif,Sane people mosques worship
"Indonesia needs young people, the next generation who are critical and brave enough to voice their opinions.","['Indonesia', 'needs', 'young', 'people', ',', 'the', 'next', 'generation', 'who', 'are', 'critical', 'and', 'brave', 'enough', 'to', 'voice', 'their', 'opinions', '.']",positif,"Indonesia people , generation critical brave voice opinions ."
that's right and now the village head is really all out and is even willing to destroy his authority and self-esteem which has been good in the last year in order to help the candidate pairs. What's the point of the village head doing that to extend his breath so he can at least enter the second round?,"['that', ""'s"", 'right', 'and', 'now', 'the', 'village', 'head', 'is', 'really', 'all', 'out', 'and', 'is', 'even', 'willing', 'to', 'destroy', 'his', 'authority', 'and', 'self-esteem', 'which', 'has', 'been', 'good', 'in', 'the', 'last', 'year', 'in', 'order', 'to', 'help', 'the', 'candidate', 'pairs', '.', 'What', ""'s"", 'the', 'point', 'of', 'the', 'village', 'head', 'doing', 'that', 'to', 'extend', 'his', 'breath', 'so', 'he', 'can', 'at', 'least', 'enter', 'the', 'second', 'round', '?']",positif,'s village head destroy authority self-esteem candidate pairs . 's village head extend breath enter ?
"Hey, the kid knows that Prabowo is the next president","['Hey', ',', 'the', 'kid', 'knows', 'that', 'Prabowo', 'is', 'the', 'next', 'president']",netral,"Hey , kid Prabowo president"
"The more confident I am, I will choose Amen to be president","['The', 'more', 'confident', 'I', 'am', ',', 'I', 'will', 'choose', 'Amen', 'to', 'be', 'president']",positif,"confident , choose Amen president"
Do you want double standards or motorbike standards? What's important is that the collaboration between young and old is concrete,"['Do', 'you', 'want', 'double', 'standards', 'or', 'motorbike', 'standards', '?', 'What', ""'s"", 'important', 'is', 'that', 'the', 'collaboration', 'between', 'young', 'and', 'old', 'is', 'concrete']",positif,double standards motorbike standards ? 's collaboration concrete
"led by who, Prabowo Subianto, children never lie","['led', 'by', 'who', ',', 'Prabowo', 'Subianto', ',', 'children', 'never', 'lie']",netral,"led , Prabowo Subianto , children lie"
"What's more, try to embrace it all, you're just a leader","['What', ""'s"", 'more', ',', 'try', 'to', 'embrace', 'it', 'all', ',', 'you', ""'re"", 'just', 'a', 'leader']",positif,"'s , embrace , 're leader"
At least there are still candidate pairs who are more embarrassed than crazy,"['At', 'least', 'there', 'are', 'still', 'candidate', 'pairs', 'who', 'are', 'more', 'embarrassed', 'than', 'crazy']",negatif,candidate pairs embarrassed crazy
"accused of not providing a living, this is the reaction of teuku ryan and ria ricis d via","['accused', 'of', 'not', 'providing', 'a', 'living', ',', 'this', 'is', 'the', 'reaction', 'of', 'teuku', 'ryan', 'and', 'ria', 'ricis', 'd', 'via']",negatif,"accused providing living , reaction teuku ryan ria ricis"
"Nagita Slavina talks about her views on the candidate pair, Mr Prabowo has a fatherly side and remembers the little things, of course remembers his promise to Indonesia","['Nagita', 'Slavina', 'talks', 'about', 'her', 'views', 'on', 'the', 'candidate', 'pair', ',', 'Mr', 'Prabowo', 'has', 'a', 'fatherly', 'side', 'and', 'remembers', 'the', 'little', 'things', ',', 'of', 'course', 'remembers', 'his', 'promise', 'to', 'Indonesia']",positif,"Nagita Slavina talks views candidate pair , Prabowo fatherly remembers , remembers promise Indonesia"
February,['February'],netral,February
"Without discrimination, all Indonesian people will be protected and prospered, both those who love and those who hate","['Without', 'discrimination', ',', 'all', 'Indonesian', 'people', 'will', 'be', 'protected', 'and', 'prospered', ',', 'both', 'those', 'who', 'love', 'and', 'those', 'who', 'hate']",positif,"discrimination , Indonesian people protected prospered , love hate"
Pak Prabowo is loved by all levels of society from young to old,"['Pak', 'Prabowo', 'is', 'loved', 'by', 'all', 'levels', 'of', 'society', 'from', 'young', 'to', 'old']",positif,Pak Prabowo loved levels society
Indonesia needs more young people who are critical and dare to express opinions,"['Indonesia', 'needs', 'more', 'young', 'people', 'who', 'are', 'critical', 'and', 'dare', 'to', 'express', 'opinions']",negatif,Indonesia people critical express opinions
"The mosque is a place of worship, not a place of campaigning","['The', 'mosque', 'is', 'a', 'place', 'of', 'worship', ',', 'not', 'a', 'place', 'of', 'campaigning']",positif,"mosque worship , campaigning"
"Sunet friends, which type is this?","['Sunet', 'friends', ',', 'which', 'type', 'is', 'this', '?']",positif,"Sunet friends , type ?"
"The moment the former Indonesian Minister of Trade, Muhammad Lutfi, wanted to pay respects in front of the Red and White","['The', 'moment', 'the', 'former', 'Indonesian', 'Minister', 'of', 'Trade', ',', 'Muhammad', 'Lutfi', ',', 'wanted', 'to', 'pay', 'respects', 'in', 'front', 'of', 'the', 'Red', 'and', 'White']",positif,"moment Indonesian Minister Trade , Muhammad Lutfi , pay respects Red White"
what do you think derr,"['what', 'do', 'you', 'think', 'derr']",netral,derr
he really likes talking about his little brother,"['he', 'really', 'likes', 'talking', 'about', 'his', 'little', 'brother']",positif,likes talking brother
The shame is gone now,"['The', 'shame', 'is', 'gone', 'now']",negatif,shame
Sincere people vote for Prabowo,"['Sincere', 'people', 'vote', 'for', 'Prabowo']",positif,people vote Prabowo
prabowogibran the winner,"['prabowogibran', 'the', 'winner']",positif,prabowogibran winner
"Wow, this is serious, you could say that people have no shame, no sense, they are insane","['Wow', ',', 'this', 'is', 'serious', ',', 'you', 'could', 'say', 'that', 'people', 'have', 'no', 'shame', ',', 'no', 'sense', ',', 'they', 'are', 'insane']",negatif,"Wow , , people shame , sense , insane"
eh eh eh just so you know the next president of Indonesia is Prabowo,"['eh', 'eh', 'eh', 'just', 'so', 'you', 'know', 'the', 'next', 'president', 'of', 'Indonesia', 'is', 'Prabowo']",netral,president Indonesia Prabowo
It's clear who should be president,"['It', ""'s"", 'clear', 'who', 'should', 'be', 'president']",positif,'s president
it's not sane to campaign at the mosque,"['it', ""'s"", 'not', 'sane', 'to', 'campaign', 'at', 'the', 'mosque']",netral,'s sane campaign mosque
What an ironic double standard,"['What', 'an', 'ironic', 'double', 'standard']",negatif,ironic double standard
President of all Indonesian people,"['President', 'of', 'all', 'Indonesian', 'people']",netral,President Indonesian people
Habib Jindan's response to the campaign at the mosque,"['Habib', 'Jindan', ""'s"", 'response', 'to', 'the', 'campaign', 'at', 'the', 'mosque']",netral,Habib Jindan 's response campaign mosque
He was born only for Indonesia Emass all in Prabowo Gibran,"['He', 'was', 'born', 'only', 'for', 'Indonesia', 'Emass', 'all', 'in', 'Prabowo', 'Gibran']",netral,born Indonesia Emass Prabowo Gibran
all in prabowo gibran,"['all', 'in', 'prabowo', 'gibran']",netral,prabowo gibran
"I only respect you, I'm not afraid. Age is not a problem, but courage can be pitted against everyone, Prabowo Gibran","['I', 'only', 'respect', 'you', ',', 'I', ""'m"", 'not', 'afraid', '.', 'Age', 'is', 'not', 'a', 'problem', ',', 'but', 'courage', 'can', 'be', 'pitted', 'against', 'everyone', ',', 'Prabowo', 'Gibran']",negatif,"respect , 'm afraid . Age , courage pitted , Prabowo Gibran"
The angel Gabriel is a tough rival,"['The', 'angel', 'Gabriel', 'is', 'a', 'tough', 'rival']",negatif,angel Gabriel tough rival
"Once again, open your eyes, who knows better what ethics means","['Once', 'again', ',', 'open', 'your', 'eyes', ',', 'who', 'knows', 'better', 'what', 'ethics', 'means']",positif,", eyes , ethics"
This is what is thought to be unethical,"['This', 'is', 'what', 'is', 'thought', 'to', 'be', 'unethical']",negatif,unethical
Isn't this double standard or just doing whatever you want just because you're a parent?,"['Is', ""n't"", 'this', 'double', 'standard', 'or', 'just', 'doing', 'whatever', 'you', 'want', 'just', 'because', 'you', ""'re"", 'a', 'parent', '?']",positif,n't double standard 're parent ?
"hehhehe, diulti a little and immediately get nervous","['hehhehe', ',', 'diulti', 'a', 'little', 'and', 'immediately', 'get', 'nervous']",negatif,"hehhehe , diulti nervous"
"immediately repeated by the one who said we were snotty little kids, we were young Indonesians with you, bro","['immediately', 'repeated', 'by', 'the', 'one', 'who', 'said', 'we', 'were', 'snotty', 'little', 'kids', ',', 'we', 'were', 'young', 'Indonesians', 'with', 'you', ',', 'bro']",netral,"repeated snotty kids , Indonesians , bro"
"Oh my God, remember that there's still plenty of time for supporters to open their minds as clearly as possible","['Oh', 'my', 'God', ',', 'remember', 'that', 'there', ""'s"", 'still', 'plenty', 'of', 'time', 'for', 'supporters', 'to', 'open', 'their', 'minds', 'as', 'clearly', 'as', 'possible']",positif,"God , remember 's plenty time supporters minds"
"We are the golden generation that builds Indonesia, the gold of life for Indonesian youth","['We', 'are', 'the', 'golden', 'generation', 'that', 'builds', 'Indonesia', ',', 'the', 'gold', 'of', 'life', 'for', 'Indonesian', 'youth']",netral,"golden generation builds Indonesia , gold life Indonesian youth"
hahah why does it look like there's a lot of talk and no action,"['hahah', 'why', 'does', 'it', 'look', 'like', 'there', ""'s"", 'a', 'lot', 'of', 'talk', 'and', 'no', 'action']",positif,hahah 's lot talk action
Candidate pairs are as exciting as they are cool,"['Candidate', 'pairs', 'are', 'as', 'exciting', 'as', 'they', 'are', 'cool']",positif,Candidate pairs exciting cool
sugan weh angger hurung candidate pair mode,"['sugan', 'weh', 'angger', 'hurung', 'candidate', 'pair', 'mode']",netral,sugan weh angger hurung candidate pair mode
Where is the lack of ethics? It is clear that this is a young person who respects and is polite to his parents.,"['Where', 'is', 'the', 'lack', 'of', 'ethics', '?', 'It', 'is', 'clear', 'that', 'this', 'is', 'a', 'young', 'person', 'who', 'respects', 'and', 'is', 'polite', 'to', 'his', 'parents', '.']",positif,lack ethics ? person respects polite parents .
don't dare to compete with angels,"['do', ""n't"", 'dare', 'to', 'compete', 'with', 'angels']",netral,n't compete angels
The candidate pair claims to win one round to save general election funds but wastes social assistance to win Crown Prince Jokowi. Their tricks are too sophisticated.,"['The', 'candidate', 'pair', 'claims', 'to', 'win', 'one', 'round', 'to', 'save', 'general', 'election', 'funds', 'but', 'wastes', 'social', 'assistance', 'to', 'win', 'Crown', 'Prince', 'Jokowi', '.', 'Their', 'tricks', 'are', 'too', 'sophisticated', '.']",positif,candidate pair claims win save election funds wastes social assistance win Crown Prince Jokowi . tricks sophisticated .
kumaha maneh weh sakarep karepmu drun drun,"['kumaha', 'maneh', 'weh', 'sakarep', 'karepmu', 'drun', 'drun']",netral,kumaha maneh weh sakarep karepmu drun drun
"Well, let's keep the general election peaceful and peaceful, let's keep the spirit of democracy safe, let's talk about ethics, let's look in the mirror","['Well', ',', 'let', ""'s"", 'keep', 'the', 'general', 'election', 'peaceful', 'and', 'peaceful', ',', 'let', ""'s"", 'keep', 'the', 'spirit', 'of', 'democracy', 'safe', ',', 'let', ""'s"", 'talk', 'about', 'ethics', ',', 'let', ""'s"", 'look', 'in', 'the', 'mirror']",positif,", 's election peaceful peaceful , 's spirit democracy safe , 's talk ethics , 's mirror"
Whoever talks about ethics knows who has it?,"['Whoever', 'talks', 'about', 'ethics', 'knows', 'who', 'has', 'it', '?']",netral,talks ethics ?
"If the action to remove the president was moved by students from all over Indonesia and now the year after this dark history succeeded in overthrowing the New Order regime, a bigger movement to end the dictatorship of the sewer dynasty began to be echoed by Indonesian campus professors, I hope the candidate pairs will perish","['If', 'the', 'action', 'to', 'remove', 'the', 'president', 'was', 'moved', 'by', 'students', 'from', 'all', 'over', 'Indonesia', 'and', 'now', 'the', 'year', 'after', 'this', 'dark', 'history', 'succeeded', 'in', 'overthrowing', 'the', 'New', 'Order', 'regime', ',', 'a', 'bigger', 'movement', 'to', 'end', 'the', 'dictatorship', 'of', 'the', 'sewer', 'dynasty', 'began', 'to', 'be', 'echoed', 'by', 'Indonesian', 'campus', 'professors', ',', 'I', 'hope', 'the', 'candidate', 'pairs', 'will', 'perish']",positif,"action remove president moved students Indonesia dark history succeeded overthrowing regime , bigger movement dictatorship sewer dynasty echoed Indonesian campus professors , hope candidate pairs perish"
"People are questioning President Jokowi's actions in draining all the social assistance funds for the candidate pair campaign, whether the social assistance funds belonged to his ancestors.","['People', 'are', 'questioning', 'President', 'Jokowi', ""'s"", 'actions', 'in', 'draining', 'all', 'the', 'social', 'assistance', 'funds', 'for', 'the', 'candidate', 'pair', 'campaign', ',', 'whether', 'the', 'social', 'assistance', 'funds', 'belonged', 'to', 'his', 'ancestors', '.']",negatif,"People questioning President Jokowi 's actions draining social assistance funds candidate pair campaign , social assistance funds belonged ancestors ."
"Indeed, it has been proven that the electability of candidate pairs in tolerant of fellow human beings is increasingly saluting and supporting the candidate pairs to lead this country, their real commitment is to strengthen tolerance.","['Indeed', ',', 'it', 'has', 'been', 'proven', 'that', 'the', 'electability', 'of', 'candidate', 'pairs', 'in', 'tolerant', 'of', 'fellow', 'human', 'beings', 'is', 'increasingly', 'saluting', 'and', 'supporting', 'the', 'candidate', 'pairs', 'to', 'lead', 'this', 'country', ',', 'their', 'real', 'commitment', 'is', 'to', 'strengthen', 'tolerance', '.']",positif,", proven electability candidate pairs tolerant fellow human increasingly saluting supporting candidate pairs lead country , real commitment strengthen tolerance ."
"It's true that the stupid Gen Z are the ones who rule there, but God willing, with the increasingly massive news about social assistance in the name of candidate pairs, even though the APBN product can change the mindset of those stupid gemoys in February, pray for it.","['It', ""'s"", 'true', 'that', 'the', 'stupid', 'Gen', 'Z', 'are', 'the', 'ones', 'who', 'rule', 'there', ',', 'but', 'God', 'willing', ',', 'with', 'the', 'increasingly', 'massive', 'news', 'about', 'social', 'assistance', 'in', 'the', 'name', 'of', 'candidate', 'pairs', ',', 'even', 'though', 'the', 'APBN', 'product', 'can', 'change', 'the', 'mindset', 'of', 'those', 'stupid', 'gemoys', 'in', 'February', ',', 'pray', 'for', 'it', '.']",negatif,"'s true stupid Gen rule , God , increasingly massive news social assistance candidate pairs , APBN product change mindset stupid gemoys February , pray ."
"Understandably, the president of the Ministry of Agriculture, Minister of Trade and State Enterprises is currently busy campaigning for candidate pairs","['Understandably', ',', 'the', 'president', 'of', 'the', 'Ministry', 'of', 'Agriculture', ',', 'Minister', 'of', 'Trade', 'and', 'State', 'Enterprises', 'is', 'currently', 'busy', 'campaigning', 'for', 'candidate', 'pairs']",netral,"Understandably , president Ministry Agriculture , Minister Trade Enterprises busy campaigning candidate pairs"
it's not dangerous taaaa,"['it', ""'s"", 'not', 'dangerous', 'taaaa']",positif,'s dangerous taaaa
Is this what is meant by having no ethics?,"['Is', 'this', 'what', 'is', 'meant', 'by', 'having', 'no', 'ethics', '?']",negatif,meant ethics ?
got the ultimate right mfud,"['got', 'the', 'ultimate', 'right', 'mfud']",netral,ultimate mfud
"Kotol wants to lead opinion begging for the candidate pair to be allowed to win the round even though the people don't want to elect a stroke-prone grandfather with an illegitimate child, ridiculous constitution","['Kotol', 'wants', 'to', 'lead', 'opinion', 'begging', 'for', 'the', 'candidate', 'pair', 'to', 'be', 'allowed', 'to', 'win', 'the', 'round', 'even', 'though', 'the', 'people', 'do', ""n't"", 'want', 'to', 'elect', 'a', 'stroke-prone', 'grandfather', 'with', 'an', 'illegitimate', 'child', ',', 'ridiculous', 'constitution']",positif,"Kotol lead opinion begging candidate pair allowed win people n't elect stroke-prone grandfather illegitimate child , ridiculous constitution"
eating meatballs with the candidate pair,"['eating', 'meatballs', 'with', 'the', 'candidate', 'pair']",netral,eating meatballs candidate pair
"the backing is an angel, dude","['the', 'backing', 'is', 'an', 'angel', ',', 'dude']",netral,"angel , dude"
"Calm down, Mr. Gibran, the young man behind you","['Calm', 'down', ',', 'Mr.', 'Gibran', ',', 'the', 'young', 'man', 'behind', 'you']",positif,"Calm , Mr. Gibran ,"
"What's problematic is the social assistance period which clearly belongs to the state, why is it said by Jokowi that there is another candidate pair in the package","['What', ""'s"", 'problematic', 'is', 'the', 'social', 'assistance', 'period', 'which', 'clearly', 'belongs', 'to', 'the', 'state', ',', 'why', 'is', 'it', 'said', 'by', 'Jokowi', 'that', 'there', 'is', 'another', 'candidate', 'pair', 'in', 'the', 'package']",negatif,"'s problematic social assistance period belongs , Jokowi candidate pair package"
representation of young Indonesian people who are working,"['representation', 'of', 'young', 'Indonesian', 'people', 'who', 'are', 'working']",netral,representation Indonesian people
"Be patient, guys, this is just talking","['Be', 'patient', ',', 'guys', ',', 'this', 'is', 'just', 'talking']",netral,"patient , guys , talking"
This is a fact that supporters of the other side should know.,"['This', 'is', 'a', 'fact', 'that', 'supporters', 'of', 'the', 'other', 'side', 'should', 'know', '.']",positif,supporters .
nothing against angels,"['nothing', 'against', 'angels']",netral,angels
"Who's to say we don't have meaning? Watch this first, bro","['Who', ""'s"", 'to', 'say', 'we', 'do', ""n't"", 'have', 'meaning', '?', 'Watch', 'this', 'first', ',', 'bro']",netral,"'s n't meaning ? Watch , bro"
indirectly criticizing himself,"['indirectly', 'criticizing', 'himself']",negatif,indirectly criticizing
I've seen his favorite candidate pair close to the children if they want proof of voting in February,"['I', ""'ve"", 'seen', 'his', 'favorite', 'candidate', 'pair', 'close', 'to', 'the', 'children', 'if', 'they', 'want', 'proof', 'of', 'voting', 'in', 'February']",positif,favorite candidate pair close children proof voting February
I think the candidate pair will resign forever,"['I', 'think', 'the', 'candidate', 'pair', 'will', 'resign', 'forever']",negatif,candidate pair resign
"The majority of the political parties supporting the candidate pairs are involved in corruption, the hypocrites gather there, just vote for Amen","['The', 'majority', 'of', 'the', 'political', 'parties', 'supporting', 'the', 'candidate', 'pairs', 'are', 'involved', 'in', 'corruption', ',', 'the', 'hypocrites', 'gather', 'there', ',', 'just', 'vote', 'for', 'Amen']",positif,"majority political parties supporting candidate pairs involved corruption , hypocrites gather , vote Amen"
"Don't spread hoax news, there are no threats to candidate pairs","['Do', ""n't"", 'spread', 'hoax', 'news', ',', 'there', 'are', 'no', 'threats', 'to', 'candidate', 'pairs']",negatif,"n't spread hoax news , threats candidate pairs"
Blessed Friday guys,"['Blessed', 'Friday', 'guys']",positif,Blessed Friday guys
"Apart from being busy venting after the debate, his supporters are always annoying and crying as if his candidate pair has been hurt. Vote for reward Mahfud trimizzpiiihamln Kitanyaman Pak Bowogbran vote once for something else.","['Apart', 'from', 'being', 'busy', 'venting', 'after', 'the', 'debate', ',', 'his', 'supporters', 'are', 'always', 'annoying', 'and', 'crying', 'as', 'if', 'his', 'candidate', 'pair', 'has', 'been', 'hurt', '.', 'Vote', 'for', 'reward', 'Mahfud', 'trimizzpiiihamln', 'Kitanyaman', 'Pak', 'Bowogbran', 'vote', 'once', 'for', 'something', 'else', '.']",negatif,"busy venting debate , supporters annoying crying candidate pair hurt . Vote reward Mahfud trimizzpiiihamln Kitanyaman Pak Bowogbran vote ."
yesterday's debate on the substance or just thinking about our attractions. Pakbowogbran voted once for,"['yesterday', ""'s"", 'debate', 'on', 'the', 'substance', 'or', 'just', 'thinking', 'about', 'our', 'attractions', '.', 'Pakbowogbran', 'voted', 'once', 'for']",positif,yesterday 's debate substance thinking attractions . Pakbowogbran voted
"Many people were mentally ill during this general election, to the point that there were people who equated candidate pairs with friends of the Messenger of Allah, even though in reality they were very far from being equated, realize and repent, this world is only temporary and only wants to rule over reason so it doesn't work.","['Many', 'people', 'were', 'mentally', 'ill', 'during', 'this', 'general', 'election', ',', 'to', 'the', 'point', 'that', 'there', 'were', 'people', 'who', 'equated', 'candidate', 'pairs', 'with', 'friends', 'of', 'the', 'Messenger', 'of', 'Allah', ',', 'even', 'though', 'in', 'reality', 'they', 'were', 'very', 'far', 'from', 'being', 'equated', ',', 'realize', 'and', 'repent', ',', 'this', 'world', 'is', 'only', 'temporary', 'and', 'only', 'wants', 'to', 'rule', 'over', 'reason', 'so', 'it', 'does', ""n't"", 'work', '.']",positif,"people mentally election , people equated candidate pairs friends Messenger Allah , reality equated , realize repent , temporary rule reason n't ."
Misguided ethics are exposed to society and will continue to turn away from us at the comfort of Pak Bowogbran,"['Misguided', 'ethics', 'are', 'exposed', 'to', 'society', 'and', 'will', 'continue', 'to', 'turn', 'away', 'from', 'us', 'at', 'the', 'comfort', 'of', 'Pak', 'Bowogbran']",positif,Misguided ethics exposed society continue comfort Pak Bowogbran
